"date_time","depth_to_gw","temp","ec"
"11/18/2022 0:00","2.98","14.524","367.1"
"11/18/2022 1:00","2.9756","14.485","361.9"
"11/18/2022 2:00","2.9711","14.526","366.3"
"11/18/2022 3:00","2.9699","14.431","360.1"
"11/18/2022 4:00","2.971","14.425","361.1"
"11/18/2022 5:00","2.9681","14.457","364.8"
"11/18/2022 6:00","2.9668","14.493","369.3"
"11/18/2022 7:00","2.9604","14.448","362.2"
"11/18/2022 8:00","2.9592","14.438","360.8"
"11/18/2022 9:00","2.9612","14.442","363.7"
"11/18/2022 10:00","2.9595","14.454","367.6"
"11/18/2022 11:00","2.9621","14.464","366.2"
"11/18/2022 12:00","2.9659","14.405","365.3"
"11/18/2022 13:00","2.9736","14.398","365.8"
"11/18/2022 14:00","2.972","14.503","369.2"
"11/18/2022 15:00","2.9644","14.422","367.6"
"11/18/2022 16:00","2.9654","14.372","362.2"
"11/18/2022 17:00","2.961","14.47","366.5"
"11/18/2022 18:00","2.9747","14.458","370.6"
"11/18/2022 19:00","2.9842","14.446","369.9"
"11/18/2022 20:00","2.9876","14.473","369.4"
"11/18/2022 21:00","2.9847","14.426","366.8"
"11/18/2022 22:00","2.9849","14.478","371.5"
"11/18/2022 23:00","2.9835","14.451","366.2"
"11/19/2022 0:00","2.9822","14.432","368.9"
"11/19/2022 1:00","2.9884","14.441","363.2"
"11/19/2022 2:00","2.9816","14.405","366.3"
"11/19/2022 3:00","2.9819","14.4","364.3"
"11/19/2022 4:00","2.9824","14.459","367.3"
"11/19/2022 5:00","2.9824","14.404","364.9"
"11/19/2022 6:00","2.9848","14.404","365.2"
"11/19/2022 7:00","2.98","14.358","362.4"
"11/19/2022 8:00","2.9839","14.428","367.8"
"11/19/2022 9:00","2.9862","14.426","369.2"
"11/19/2022 10:00","3.0006","14.378","366.6"
"11/19/2022 11:00","3.0062","14.422","367.2"
"11/19/2022 12:00","3.014","14.46","373.5"
"11/19/2022 13:00","3.0087","14.486","376"
"11/19/2022 14:00","3.0062","14.438","367.8"
"11/19/2022 15:00","3.0019","14.456","371"
"11/19/2022 16:00","3.0009","14.407","373.3"
"11/19/2022 17:00","3.0024","14.432","369"
"11/19/2022 18:00","3.009","14.394","364.4"
"11/19/2022 19:00","3.0169","14.416","367.5"
"11/19/2022 20:00","3.024","14.422","366.2"
"11/19/2022 21:00","3.0299","14.425","366.1"
"11/19/2022 22:00","3.0204","14.447","372.3"
"11/19/2022 23:00","3.0237","14.415","369.4"
"11/20/2022 0:00","3.0231","14.394","367.7"
"11/20/2022 1:00","3.027","14.426","369.8"
"11/20/2022 2:00","3.0207","14.397","365.4"
"11/20/2022 3:00","3.0233","14.343","360.4"
"11/20/2022 4:00","3.0183","14.389","368"
"11/20/2022 5:00","3.0149","14.394","365.9"
"11/20/2022 6:00","3.0206","14.433","366.8"
"11/20/2022 7:00","3.0281","14.401","366.5"
"11/20/2022 8:00","3.0342","14.399","370.1"
"11/20/2022 9:00","3.0307","14.407","368.7"
"11/20/2022 10:00","3.037","14.382","366.7"
"11/20/2022 11:00","3.0236","14.398","365"
"11/20/2022 12:00","3.0219","14.431","367.2"
"11/20/2022 13:00","3.0248","14.314","361.2"
"11/20/2022 14:00","3.0165","14.385","365.9"
"11/20/2022 15:00","3.0194","14.341","362.9"
"11/20/2022 16:00","3.0139","14.323","361.6"
"11/20/2022 17:00","3.0177","14.325","365.2"
"11/20/2022 18:00","3.0171","14.339","365.3"
"11/20/2022 19:00","3.0205","14.336","363.4"
"11/20/2022 20:00","3.0252","14.32","365.8"
"11/20/2022 21:00","3.0271","14.34","365"
"11/20/2022 22:00","3.0179","14.361","368.5"
"11/20/2022 23:00","3.0197","14.331","362.6"
"11/21/2022 0:00","3.0188","14.33","363.7"
"11/21/2022 1:00","3.0179","14.308","364.4"
"11/21/2022 2:00","3.019","14.295","364.3"
"11/21/2022 3:00","3.0119","14.374","369"
"11/21/2022 4:00","3.0175","14.303","363.6"
"11/21/2022 5:00","3.0129","14.286","363.2"
"11/21/2022 6:00","3.0219","14.271","363.5"
"11/21/2022 7:00","3.0258","14.294","367"
"11/21/2022 8:00","3.0289","14.347","368.1"
"11/21/2022 9:00","3.0271","14.337","370.8"
"11/21/2022 10:00","3.0275","14.315","365"
"11/21/2022 11:00","3.0278","14.26","364.5"
"11/21/2022 12:00","3.0315","14.307","366"
"11/21/2022 13:00","3.0321","14.285","367.8"
"11/21/2022 14:00","3.0299","14.357","369.7"
"11/21/2022 15:00","3.0273","14.218","360.4"
"11/21/2022 16:00","3.0255","14.313","364.5"
"11/21/2022 17:00","3.0259","14.363","370.7"
"11/21/2022 18:00","3.0234","14.266","368.6"
"11/21/2022 19:00","3.0274","14.311","365.4"
"11/21/2022 20:00","3.0339","14.247","361.2"
"11/21/2022 21:00","3.0242","14.278","364.7"
"11/21/2022 22:00","3.0223","14.274","362.8"
"11/21/2022 23:00","3.0208","14.224","363.8"
"11/22/2022 0:00","3.0223","14.248","365.1"
"11/22/2022 1:00","3.0285","14.271","363"
"11/22/2022 2:00","3.023","14.257","366.8"
"11/22/2022 3:00","3.017","14.308","369.9"
"11/22/2022 4:00","3.0278","14.237","364.1"
"11/22/2022 5:00","3.0311","14.285","369.6"
"11/22/2022 6:00","3.0318","14.326","370.9"
"11/22/2022 7:00","3.0311","14.287","367.8"
"11/22/2022 8:00","3.0383","14.33","369.3"
"11/22/2022 9:00","3.0428","14.282","366.8"
"11/22/2022 10:00","3.043","14.268","372.3"
"11/22/2022 11:00","3.0466","14.265","369"
"11/22/2022 12:00","3.0462","14.266","364.2"
"11/22/2022 13:00","3.0461","14.32","370.8"
"11/22/2022 14:00","3.0458","14.311","372.3"
"11/22/2022 15:00","3.0406","14.288","366.5"
"11/22/2022 16:00","3.0398","14.259","366.8"
"11/22/2022 17:00","3.0416","14.286","368.6"
"11/22/2022 18:00","3.0504","14.278","370.6"
"11/22/2022 19:00","3.0498","14.287","368.6"
"11/22/2022 20:00","3.0531","14.227","360.7"
"11/22/2022 21:00","3.0503","14.3","370.6"
"11/22/2022 22:00","3.0499","14.282","367.9"
"11/22/2022 23:00","3.0445","14.234","368.2"
"11/23/2022 0:00","3.0414","14.258","369.5"
"11/23/2022 1:00","3.0382","14.203","367.7"
"11/23/2022 2:00","3.0426","14.186","366.8"
"11/23/2022 3:00","3.0438","14.246","368.7"
"11/23/2022 4:00","3.0443","14.225","369.9"
"11/23/2022 5:00","3.0366","14.209","369.2"
"11/23/2022 6:00","3.0383","14.24","367.6"
